"""company""","""creation_date""","""approve_date""","""closed_date""","""po_no""","""po_status""","""line_num""","""line_type""","""item_number""","""item_description""","""inventory_type""","""main_category""","""group_category""","""sub_group_category""","""sub_sub_group_category""","""uom""","""buyer_name""","""vendor_no""","""vendor_name""","""payment_term""","""vendor_site_code""","""closed_code""","""header_cancel""","""line_cancel""","""quantity_received""","""quantity_accepted""","""quantity_rejected""","""quantity_cancelled""","""currency_code""","""rate""","""quantity""","""unit_price""","""amount""","""amount_egp"""
ESCC,2019-04-14 00:00:00,2019-05-14 00:00:00,2019-05-27 13:12:10,190267,Approved,2,Direct,,"Marine cable, 1 X 50 mm , Code: HO7RN-F , Italy.",,,,Well matser hose and cables,,meter,Buyer_06,9006,Vendor_142,14 days,Site_044,CLOSED,Valid,Valid,800,800,0,0,EGP,1,800,109,87200,87200
ASF,2019-04-14 00:00:00,2019-04-16 00:00:00,,190268,Approved,1,Goods,4090600375,"Sheet, thickness 04 mm, material steel 37 (material no. 1.0038) black, according to DIN 1541, weight/m2= 064 kg, recommended sheet dimensions 1.87 mX6.25 m.",Spare parts,Workshop material,Workshop material,Sheet for bucket elevator (W.R1472311).,,Kilogram,Buyer_01,9031,Vendor_040,30 days,Site_085,OPEN,Valid,Valid,24050,24050,0,0,EGP,1,25000,11.4,285000,285000
ASF,2019-04-14 00:00:00,2019-04-21 00:00:00,2019-11-12 10:37:00,190269,Approved,1,Goods,4100111362,"Screw, hexagon head, M20X150, steel grade 10.9, DIN 933, galvanized",Spare parts,Mechanical items,Fasteners,Fasteners.,,Each,Buyer_05,9093,Vendor_088,14 days,Site_064,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,60,1200,1200
ESCC,2019-04-14 00:00:00,2019-04-21 00:00:00,2019-11-12 10:37:00,190269,Approved,2,Goods,4100111364,"Screw, hexagon head, M20X190, steel grade 10.9, DIN 933, galvanized",Spare parts,Mechanical items,Fasteners,Fasteners.,,Each,Buyer_05,9093,Vendor_088,14 days,Site_064,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,75,1500,1500
ASF,2019-04-13 00:00:00,2019-06-16 00:00:00,2019-07-18 11:35:23,190261,Approved,1,Goods,4092504086,"Belt, rubber Cleaning nonflammable, type cleaning fluid, ref. no. 595 9023, package content 800 ml, TIP TOP",Spare parts,Belt conveyor,Belt conveyors,Bonding material for rubber belt conveyors.,,Each,Buyer_01,9049,Vendor_151,30 days,Site_106,CLOSED,Valid,Valid,10,10,0,0,EGP,1,10,144,1440,1440
ASF,2019-04-13 00:00:00,2019-06-16 00:00:00,2019-07-09 14:46:13,190262,Approved,1,Goods,4092504087,"Belt, rubber pullies Rema grip bonding, type Metal Primer PR 200, CFC free for cement SC 2000/BC 3000/SC 4000, ref. no. 525 2406, package content 750 g, TIP TOP",Spare parts,Belt conveyor,Belt conveyors,Bonding material for rubber belt conveyors.,,Each,Buyer_01,9062,Vendor_124,30 days,Site_071,CLOSED,Valid,Valid,4,4,0,0,EGP,1,4,200,800,800
ESCC,2019-04-13 00:00:00,2019-04-16 00:00:00,2019-06-19 16:17:39,190263,Approved,2,Goods,3010700519,"Silicon, heat resistant up to150 C",Spare parts,Mechanical items,Mechanical Miscellaneous,Heat resistant silicon.,,Each,Buyer_05,9046,Vendor_081,14 days,Site_107,CLOSED,Valid,Valid,200,200,0,0,EGP,1,200,32.89,6578,6578
EGYLUX,2019-04-11 00:00:00,2019-06-16 00:00:00,2019-11-12 12:34:48,190254,Approved,1,Goods,3059911009,"Bearing,  LME 16UU linear motion  for packing",Spare parts,Mechanical items,mechanical items for cement storage and dispatch area (600),Case and bearing for packing.,,Each,Buyer_01,9154,Vendor_127,30 days,Site_004,CLOSED,Valid,Valid,12,12,0,0,EGP,1,12,137.75,1653,1653
ESCC,2019-04-11 00:00:00,2019-06-16 00:00:00,2019-11-12 12:34:48,190254,Approved,2,Goods,3059911355,"Case unit type, SCE 16-LME16UU",Spare parts,Mechanical items,mechanical items for cement storage and dispatch area (600),Case and bearing for packing.,,Each,Buyer_01,9154,Vendor_127,30 days,Site_004,CLOSED,Valid,Valid,12,12,0,0,EGP,1,12,451.25,5415,5415
EGYLUX,2019-04-11 00:00:00,2019-06-16 00:00:00,2019-07-31 16:45:38,190255,Approved,1,Goods,3051108184,"Hose, hydraulic, EN856 4SP, DN16, L 800mm, ends DKO female swivel straight, 1E25DS16, DKO female swivel 45 deg 1E25DSA16,  S=50, GS-Hydro 616047, FLS part list 50030495, item 07.03.08.11,Pos. 97, for hydraulic cylinder atox raw mill 45",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Hose for atox mill 45,,Each,Buyer_01,9076,Vendor_165,30 days,Site_107,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,252,756,756
ASF,2019-04-11 00:00:00,2019-06-16 00:00:00,2019-07-31 16:45:38,190255,Approved,2,Goods,3051108185,"Hose, hydraulic, EN856 4SP, DN16, L 900mm, ends DKO female swivel straight, 1E25DS16, DKO female swivel 45 deg, 1E25DSA16,  S=50,GS-Hydro 616047, FLS part list 50030495, item no. 07.03.08.10, Pos. 98, for hydraulic cylinder atox raw mill 45",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Hose for atox mill 45,,Each,Buyer_01,9076,Vendor_165,30 days,Site_107,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,266.4,799.2,799.2
ASF,2019-04-11 00:00:00,2019-04-16 00:00:00,2019-05-06 14:30:54,190256,Approved,1,Goods,4080100187,"Electrode, welding, basic, AWS A5.1-81:7018, 4 mm wire diameter, DIN 1913:E5143B10, ISO E51 4B 120 26H",Spare parts,Mechanical items,Welding materials,Welding electrodes.,,Kilogram,Buyer_05,9011,Vendor_101,14 days,Site_086,CLOSED,Valid,Valid,350,350,0,0,EGP,1,350,45,15750,15750
ASF,2019-04-11 00:00:00,2019-04-16 00:00:00,2019-05-06 14:30:39,190257,Approved,1,Goods,4090611024,"Electrode, welding, arc gouging, 10 mm wire diameter",Spare parts,Workshop material,Workshop material,Arc gouging  welding electrodes.,,Each,Buyer_05,9011,Vendor_101,14 days,Site_086,CLOSED,Valid,Valid,500,500,0,0,EGP,1,500,5,2500,2500
EMAS,2019-04-11 00:00:00,2019-06-16 00:00:00,2019-08-22 16:22:36,190258,Approved,1,Direct,,"Repair and test variable displacement pump, type A4VG250EP2D1/32R-NSD10F001DH-S T, speed 1800 r.p.m, serial no. 23083036, Rexroth code R902102080, for cross bar cooler hydraulic drive unit",,,,Repair and test,,Each,Buyer_03,9015,Vendor_140,14 days,Site_061,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,25000,25000,25000
EGYLUX,2019-04-11 00:00:00,2019-06-16 00:00:00,2019-09-25 16:06:11,190259,Approved,1,Goods,3051505053,"Switch, pressure, hydro- electric, type HED8 OA-2X/ 100 K 14 S, BOSCH group, for cooler drive of kiln",Spare parts,Mechanical items,mechanical items for clinker production area (400),Switch pressure,,Each,Buyer_03,9015,Vendor_140,14 days,Site_061,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,2900,8700,8700
EMAS,2019-04-11 00:00:00,2019-04-21 00:00:00,2019-05-07 11:37:12,190260,Approved,1,Goods,3051110484,"hose, hydraulic, EN 853-2SN- DN 10 (3/8 in)-330 bar, length 1500 mm, female ends, straight and 90 deg.DKO at both sides, S=19 mm, for nitrogen connection, for ATOX raw mill",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Hoses for nitrogen connection for atox raw mill.,,Each,Buyer_01,9076,Vendor_165,Immediate,Site_107,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,128,2560,2560
EMAS,2019-04-11 00:00:00,2019-04-21 00:00:00,2019-05-07 11:37:12,190260,Approved,2,Goods,3051110485,"hose, hydraulic, EN 853-2SN- DN 10 (3/8 in)-330 bar, length 1500 mm, straight female ends, DKO at both sides, S=19 mm, for nitrogen connection, for ATOX raw mill",Spare parts,Mechanical items,mechanical items for raw meal production area (300),Hoses for nitrogen connection for atox raw mill.,,Each,Buyer_01,9076,Vendor_165,Immediate,Site_107,CLOSED,Valid,Valid,5,5,0,0,EGP,1,5,128,640,640
ESCC,2019-04-10 00:00:00,2019-04-16 00:00:00,2019-12-23 12:15:50,190251,Approved,1,Goods,3010910480,"Seal, oil, 038x052x7, material VITON, for 461.RF085",Spare parts,Mechanical items,mechanical items for clinker production area (400),Oil seal for geared motor 461-RF085,,Each,Buyer_01,9034,Vendor_064,30 days,Site_045,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,96,192,192
EMAS,2019-04-10 00:00:00,2019-06-16 00:00:00,2019-08-05 12:46:06,190252,Approved,1,Goods,4091000566,"Rope, wire, 6X19 construction, steel core size 3/4 in,Galvanized",Spare parts,Mechanical items,Mechanical Miscellaneous,Rope,,Meter,Buyer_03,9039,Vendor_118,14 days,Site_077,CLOSED,Valid,Valid,350,350,0,0,EGP,1,350,60,21000,21000
ESCC,2019-04-10 00:00:00,2019-06-16 00:00:00,2019-07-04 14:12:20,190253,Approved,1,Goods,3040201874,"Valve, 5/2, type MAV 25 PPS OO, 1/8 inch, max 10 bar, hand operated, supplier METALWORK, sr. no. 7010001500, pos. 21, code 631018Z, for bag holder, for P/Mc Replacement with Waircom",Spare parts,Mechanical items,mechanical items for cement storage and dispatch area (600),Valve,,Each,Buyer_03,9105,Vendor_083,14 days,Site_106,CLOSED,Valid,Valid,6,6,0,0,EGP,1,6,356.25,2137.5,2137.5
ESCC,2019-04-09 00:00:00,,,190244,Rejected,1,Goods,4090500430,"Beam, standard, UPN 080x6000 mm, weight/m=08.64 Kg, according to DIN 1026",Spare parts,Workshop material,Workshop material,Beams for overhaul.,,Kilogram,Buyer_01,9031,Vendor_040,30 days,Site_085,OPEN,Valid,Valid,0,0,0,0,EGP,1,518.4,10.789,5593.02,5593.02
EMAS,2019-04-09 00:00:00,,,190244,Rejected,2,Goods,4090500431,"Beam, standard, UPN 100x6000 mm, weight/m=10.60 Kg, according to DIN 1026",Spare parts,Workshop material,Workshop material,Beams for overhaul.,,Kilogram,Buyer_01,9031,Vendor_040,30 days,Site_085,OPEN,Valid,Valid,0,0,0,0,EGP,1,636,10.789,6861.8,6861.8
EGYLUX,2019-04-09 00:00:00,2019-06-16 00:00:00,2019-07-09 14:50:44,190245,Approved,1,Goods,3053603666,قماش أسطبة قطن 100% علي أن لا يقل المقاس عن 25 سم في 25 سم,Lubricants,Lubricants,Lubricants,Rag PR.,,Kilogram,Buyer_01,9073,Vendor_035,30 days,Site_076,CLOSED,Valid,Valid,500,500,0,0,EGP,1,500,6.75,3375,3375
EGYLUX,2019-04-09 00:00:00,2019-04-16 00:00:00,,190246,Approved,1,Goods,4090810483,"Rod, round, diameter 45 mm, recommended length 2000 mm, weight per meter 12.5 kg/m, material 34Cr NiMo6",Wear parts,Workshop material,Workshop material,Round rod for atox mill.,,kiloGram,Buyer_01,9115,Vendor_066,Immediate,Site_009,OPEN,Valid,Valid,25,23.0128,0,0,EGP,1,25,30,750,750
EGYLUX,2019-04-09 00:00:00,2019-07-10 00:00:00,2019-07-24 17:04:15,190247,Approved,1,Goods,4090600381,"Sheet, thickness 16 mm, material steel 37 (material no. 1.0038) black, according to DIN 1541, weight/m2= 128 kg, recommended sheet dimensions 1.5mX6m.",Spare parts,Workshop material,Workshop material,Complementery for PO # 180672,,Kilogram,Buyer_01,9042,Vendor_086,Immediate,Site_069,CLOSED,Valid,Valid,40,40,0,0,EGP,1,40,11.84,473.6,473.6
EGYLUX,2019-04-09 00:00:00,2019-04-16 00:00:00,2019-04-23 12:22:37,190248,Approved,1,Direct,,Flushing for Coal Mill Hydraulic unit 461HY110,,,,Flushing for hydraulic units,,Each,Buyer_03,9120,Vendor_055,14 days,Site_002,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,45000,45000,45000
EGYLUX,2019-04-09 00:00:00,2019-04-16 00:00:00,2019-04-23 12:22:37,190248,Approved,2,Direct,,Flushing for hydraulic cooler circut  441MD140,,,,Flushing for hydraulic units,,Each,Buyer_03,9120,Vendor_055,14 days,Site_002,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,90000,90000,90000
EMAS,2019-04-09 00:00:00,2019-04-16 00:00:00,2019-05-07 11:38:05,190249,Approved,1,Goods,4100504954,"Snap Lock, plastic for cement bulk",Spare parts,Workshop material,Workshop material,Snap Lock,,Each,Buyer_03,9102,Vendor_108,14 days,Site_061,CLOSED,Valid,Valid,12000,12000,0,0,EGP,1,12000,1.8,21600,21600
EMAS,2019-04-09 00:00:00,2019-04-16 00:00:00,2019-05-06 14:38:03,190250,Approved,1,Goods,4090500409,"Beam, standard, HEB 120x6000 mm, weight/m=26.7 Kg, according to DIN 1025",Spare parts,Workshop material,Workshop material,Beam for reclaimer.,,Kilogram,Buyer_01,9031,Vendor_040,30 days,Site_085,CLOSED,Valid,Valid,320.4,320.4,0,0,EGP,1,320.4,12.06,3864.02,3864.02
ASF,2019-04-08 00:00:00,2019-06-16 00:00:00,2019-08-29 11:59:02,190234,Approved,1,Goods,3049908073,"Valve, solenoid, Vickers DG3VP-3-102A-VMUH-10, or Parker W2n 320N 6AB2, part no. 510259, Pos. 18, for hydraulic thrust system 431.HT120",Spare parts,Mechanical items,mechanical items for clinker production area (400),spare parts for 431.HT120,,Each,Buyer_03,9064,Vendor_048,Immediate,Site_065,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,9828,9828,9828
EGYLUX,2019-04-08 00:00:00,2019-06-16 00:00:00,2019-08-29 11:59:02,190234,Approved,2,Goods,3049908074,"Valve, subplate, DGMS-3-1E-11-R Vickers, or Parker 3/8in BSP, part no. SPD23B910, Pos. 19, for hydraulic thrust system 431.HT120",Spare parts,Mechanical items,mechanical items for clinker production area (400),spare parts for 431.HT120,,Each,Buyer_03,9064,Vendor_048,Immediate,Site_065,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,1322,1322,1322
EMAS,2019-04-08 00:00:00,2019-06-16 00:00:00,2019-08-29 11:59:02,190234,Approved,3,Goods,3049908075,"Valve, pressure relief, 1/4in, type RG C-175-F-11UB Vickers, or Parker R4V03 563 30 A1, part no. 016-87241-0, Pos. 20, for hydraulic thurst system 431.HT120",Spare parts,Mechanical items,mechanical items for clinker production area (400),spare parts for 431.HT120,,Each,Buyer_03,9064,Vendor_048,Immediate,Site_065,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,10312,10312,10312
ASF,2019-04-08 00:00:00,,,190235,Rejected,1,Goods,3082904769,"Power Plug & socket , Range 63A,Voltage 380V, 5 PIN, Phases 3PNE,Protection IP67, type: wander , as mentioned in the offer.",Spare parts,Electrical items,Electrical Miscellaneous,Plug 63A,,Each,Buyer_06,9006,Vendor_142,14 days,Site_044,OPEN,Valid,Valid,0,0,0,0,EGP,1,20,770,15400,15400
EGYLUX,2019-04-08 00:00:00,2019-06-16 00:00:00,2019-12-17 11:47:30,190236,Approved,1,Goods,3030201128,"Belt, V-belt type, SPA 2800",Spare parts,Mechanical items,V-belt items,Belt,,Each,Buyer_03,9098,Vendor_033,14 days,Site_090,CLOSED,Valid,Valid,16,16,0,0,EGP,1,16,117.5,1880,1880
ESCC,2019-04-08 00:00:00,2019-08-06 00:00:00,2019-09-16 13:46:11,190237,Approved,1,Goods,3082904861,"Plug Power, Range 16A, Voltage 220V, 3 PIN, Phases 2PE, Protection IP67, Europe.",Spare parts,Electrical items,Electrical Miscellaneous,Electrical needs,,Each,Buyer_06,9006,Vendor_142,14 days,Site_044,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,130,2600,2600
ASF,2019-04-08 00:00:00,2019-04-10 00:00:00,2019-07-28 09:53:44,190238,Approved,1,Goods,4100504955,"Snap Lock, metal brand unisto for cement bulk",Production supplies,Production supplies,Production supplies,Snap Lock,,Each,Buyer_03,9102,Vendor_108,14 days,Site_061,CLOSED,Valid,Valid,20000,20000,0,0,EGP,1,20000,1.95,39000,39000
EMAS,2019-04-08 00:00:00,,,190239,Rejected,1,Goods,5060205044,"Safety, harness with shock absorber , type: 35 ,CLIMAX , SPAIN.",Safety,Safety,Safety,Tool for workshop,,Each,Buyer_06,9024,Vendor_169,30 days,Site_059,OPEN,Valid,Valid,0,0,0,0,EGP,1,15,880,13200,13200
ESCC,2019-04-08 00:00:00,,,190240,Rejected,1,Goods,3049911284,"Pressure Regulator,P1=40 bar,P2=13 bar,type: U47W9/T,Spectrotec,Pos.13,Item no.111210,assembly dwg.52-0015-005,Supplier Danfoss Semco,Ref. no.52-0015-00,FLS order: 4-1420253-460671A,for low pressure tank CO2 inertisation system461.FI490",Spare parts,Mechanical items,Fire fighting,Pressure Regulator,,Each,Buyer_04,9157,Vendor_016,,Site_027,OPEN,Valid,Valid,0,0,0,0,EUR,19.48,1,2422.5,2422.5,47190.3
ESCC,2019-04-08 00:00:00,,,190241,Rejected,1,Goods,3080201392,"Bulbs, designation halogen, power 1000w, voltage 220vac, for lighting",Spare parts,Electrical items,Electrical Miscellaneous,Lighting,,Each,Buyer_06,9006,Vendor_142,14 days,Site_044,OPEN,Valid,Valid,0,0,0,0,EGP,1,50,45,2250,2250
ESCC,2019-04-08 00:00:00,,,190241,Rejected,2,Goods,3080201400,"Flood light unit, halogen type, with lamp, rating 1000 watt.",Spare parts,Electrical items,Electrical Miscellaneous,Lighting,,Each,Buyer_06,9006,Vendor_142,14 days,Site_044,OPEN,Valid,Valid,0,0,0,0,EGP,1,25,480,12000,12000
ASF,2019-04-08 00:00:00,2019-04-16 00:00:00,2019-04-22 14:46:04,190242,Approved,1,Goods,7990109200,"Bag, for cement (El SEWEDY), 1ply 90 grm + 1ply 85 grm, capacity 50 kg",Bags (for packing),Bags (for packing),Bags (for packing),Bag for cement,,Each,Buyer_06,9028,Vendor_049,21 days,Site_043,CLOSED,Valid,Valid,2816000,2816000,0,0,EGP,1,2816000,3.336,9394176,9394176
EMAS,2019-04-08 00:00:00,2019-04-16 00:00:00,2019-05-07 11:36:22,190243,Approved,1,Goods,4101110993,"Nipple, greasing, G 1/ 4 inch, straight, ISO 228/1",Spare parts,Mechanical items,Mechanical Miscellaneous,Nipple,,Each,Buyer_03,9051,Vendor_144,14 days,Site_057,CLOSED,Valid,Valid,350,350,0,0,EGP,1,350,8,2800,2800
ESCC,2019-04-08 00:00:00,2019-04-16 00:00:00,2019-05-07 11:36:22,190243,Approved,2,Direct,,"Nipple, greasing, G 1/ 8 inch, straight, ISO 228/1",,,,Nipple,,Each,Buyer_03,9051,Vendor_144,14 days,Site_057,CLOSED,Valid,Valid,50,50,0,0,EGP,1,50,5,250,250
EGYLUX,2019-04-04 00:00:00,2019-06-16 00:00:00,2019-10-30 17:21:10,190233,Approved,1,Goods,3030601846,"Coupling, hydraulic coupling type FAD-297, supplier FLENDER, for backing bucket elevator drive unit",Spare parts,Driving element,mechanical items for cement storage and dispatch area (600),Coupling,,Each,Buyer_04,9155,Vendor_008,,Site_036,CLOSED,Valid,Valid,1,1,0,0,USD,17.363,1,3000,3000,52089
ESCC,2019-04-03 00:00:00,2019-06-16 00:00:00,2019-09-10 10:35:35,190231,Approved,1,Goods,7990105250,"Bags, plastic  size 300x400mm, thickness 80 micron for laboratory samples",Spare parts,Mechanical items,Laboratory,Plastic bags for samples of quality control dept.,,Kilogram,Buyer_01,9045,Vendor_102,Immediate,Site_100,CLOSED,Valid,Valid,500,500,0,0,EGP,1,500,32,16000,16000
ESCC,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,1,Capex,,05A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,10,10,0,0,EGP,1,10,105.26,1052.6,1052.6
ASF,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,2,Capex,,17A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,307.02,921.06,921.06
ASF,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,3,Capex,,19A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,2,2,0,0,EGP,1,2,421.05,842.1,842.1
EMAS,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,4,Capex,,35A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,5,5,0,0,EGP,1,5,100.88,504.4,504.4
EGYLUX,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,5,Capex,,37A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,3,3,0,0,EGP,1,3,877.19,2631.57,2631.57
ASF,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,6,Capex,,64A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,8,8,0,0,EGP,1,8,289.47,2315.76,2315.76
ESCC,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,7,Capex,,81A,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,5,5,0,0,EGP,1,5,350.88,1754.4,1754.4
EMAS,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,8,Capex,,920 Black / Eng. Gamal Elleithy,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,263.16,263.16,263.16
ESCC,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,9,Capex,,920 cyan / Eng. Gamal Elleithy,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,263.16,263.16,263.16
ESCC,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,10,Capex,,920 pink / Eng. Gamal Elleithy,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,263.16,263.16,263.16
ASF,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-11-17 11:08:20,190232,Approved,11,Capex,,920 yellow / Eng. Gamal Elleithy,,,,,,Each,Buyer_02,9156,Vendor_167,,Site_067,CLOSED,Valid,Valid,1,1,0,0,EGP,1,1,263.16,263.16,263.16
EMAS,2019-04-02 00:00:00,,,190226,Rejected,1,Goods,4089905281,Brown glasses piece for welding shade helmet,Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,30,1.75,52.5,52.5
EGYLUX,2019-04-02 00:00:00,,,190226,Rejected,2,Goods,4089905282,White glasses piece for welding shade helmet,Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,30,0.75,22.5,22.5
EGYLUX,2019-04-02 00:00:00,,,190226,Rejected,3,Goods,4089905284,Welding electrode holders Model : perfecta 5,Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,20,140,2800,2800
ASF,2019-04-02 00:00:00,,,190226,Rejected,4,Goods,3080305844,Hoses for oxygen and esteline cutting and heating torches,Spare parts,Workshop material,Workshop material,Consumables.,,Meter,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,400,23,9200,9200
ASF,2019-04-02 00:00:00,,,190226,Rejected,6,Goods,3089907542,"Clamp, earth clamp, 600A, for welding machine.",Spare parts,Electrical items,Electrical Miscellaneous,Consumables.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,20,105,2100,2100
EMAS,2019-04-02 00:00:00,,,190226,Rejected,7,Direct,,Welding cables 90 mm2,,,,Consumables.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,100,136,13600,13600
EGYLUX,2019-04-02 00:00:00,,,190226,Rejected,8,Direct,,gouging electrode holder,,,,Consumables.,,Each,Buyer_05,9001,Vendor_087,14 days,Site_072,OPEN,Valid,Valid,0,0,0,0,EGP,1,1,2250,2250,2250
EGYLUX,2019-04-02 00:00:00,2019-08-06 00:00:00,2019-09-08 16:24:11,190227,Approved,1,Goods,3089907539,"Connector, complete male connector, 50-70 mm2, code LCR-36C5070M, for welding machine.",Spare parts,Electrical items,Electrical Miscellaneous,Consumables.,,Each,Buyer_05,9017,Vendor_058,14 days,Site_043,CLOSED,Valid,Valid,30,30,0,0,EGP,1,30,35,1050,1050
EGYLUX,2019-04-02 00:00:00,2019-08-06 00:00:00,2019-11-21 13:10:01,190228,Approved,1,Goods,3059905271,Oxygen and esteline manometers,Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9055,Vendor_037,14 days,Site_061,CLOSED,Valid,Valid,14,14,0,0,EGP,1,14,1280,17920,17920
ESCC,2019-04-02 00:00:00,2019-08-06 00:00:00,2019-11-21 13:10:01,190228,Approved,2,Goods,4090905707,"Flashback arrestor, SL. Grade 99, 3/8 X 3/8 in, for OXYGEN cylinders, for cutting",Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9055,Vendor_037,14 days,Site_061,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,295,5900,5900
EGYLUX,2019-04-02 00:00:00,2019-08-06 00:00:00,2019-11-21 13:10:01,190228,Approved,3,Goods,4090905708,"Flashback arrestor, SL. Grade 99, 3/8 X 3/8 in, for ACYTELEN, HY and PRO cylinders, for cutting",Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9055,Vendor_037,14 days,Site_061,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,295,5900,5900
ESCC,2019-04-02 00:00:00,2019-08-06 00:00:00,2019-11-21 13:10:01,190228,Approved,4,Goods,4089906226,"Pick, nozzel, size 2, type HARRIS, for cutting and heating torches",Spare parts,Workshop material,Workshop material,Consumables.,,Each,Buyer_05,9055,Vendor_037,14 days,Site_061,CLOSED,Valid,Valid,20,20,0,0,EGP,1,20,72,1440,1440
EMAS,2019-04-02 00:00:00,,,190229,Rejected,1,Goods,3082904861,"Plug Power, Range 16A, Voltage 220V, 3 PIN, Phases 2PE, Protection IP67,Europe.",Spare parts,Electrical items,Electrical Miscellaneous,Electrical needs,,Each,Buyer_06,9006,Vendor_142,14 days,Site_044,OPEN,Valid,Valid,0,0,0,0,EGP,1,50,130,6500,6500
ESCC,2019-04-02 00:00:00,,,190229,Rejected,2,Goods,3080305209,"Cable, power cable, size 2X2.5 mm2, multicore cables, with stranded, copper conductor, insulated PVC and PVC sheathed, cable voltage 0.6-1.2KV, IEC 60502.   ",Spare parts,Electrical items,Cables and Cable Accessories,Electrical needs,,Meter,Buyer_06,9006,Vendor_142,14 days,Site_044,OPEN,Valid,Valid,0,0,0,0,EGP,1,500,11.85,5925,5925
EMAS,2019-04-02 00:00:00,,,190229,Rejected,3,Goods,3080307264,"Cable reel, 240VAC, 50Hz, 4 outputs, cable length 50 meter, with support.",Spare parts,Electrical items,Cables and Cable Accessories,Electrical needs,,Each,Buyer_06,9006,Vendor_142,14 days,Site_044,OPEN,Valid,Valid,0,0,0,0,EGP,1,10,1050,10500,10500
